acapite,appURL,descripcionEtapa,descripcionSubEtapa,estadoProyecto,expedienteCamara,fechaIngresoExpediente,idProyecto,iniciativa,origenProyecto,tipoProyecto,urgencia
"QUE INSTA A TODOS LOS MUNICIPIOS Y GOBERNACIONES DEL PAIS, A PROMOVER LA FORMACION DE COMUNIDADES ENERGETICAS - presentado por los Diputados Carlos Rejala y Tito Ibarrola.",http://silpy.congreso.gov.py/expediente/128080,PRIMER TRÁMITE CONSTITUCIONAL,RESOLUCIÓN QUE APRUEBA DECLARACIÓN,EN TRAMITE,D-2371736,18/04/2023,128080,PARLAMENTARIA,CAMARA DE DIPUTADOS,DECLARACIONES UNICAMERALES - (Art. 108-CS y 104-CD REGLAMENTO INTERNO ),ORDINARIO
"QUE MODIFICA EL ARTICULO 1º DE LA LEY Nº 6.316/2018 QUE DESAFECTA DEL DOMINIO PUBLICO MUNICIPAL Y AUTORIZA A LA MUNICIPALIDAD DE ASUNCIÓN, A TRANSFERIR A TITULO ONEROSO A FAVOR DE INTERCAMBIOS MERCANTILES S.A., UNA FRACCION DE INMUEBLE INDIVIDUALIZADO COMO PARTE DE LA FINCA Nº 23118, DEL DISTRITO DE LA RECOLETA DEL CITADO MUNICIPIO - presentado por el Diputado Néstor Ferrer. ",http://silpy.congreso.gov.py/expediente/128079,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,D-2371793,19/04/2023,128079,PARLAMENTARIA,CAMARA DE DIPUTADOS,PROYECTO DE LEY,ORDINARIO
"QUE MODIFICA EL ARTÍCULO 44 DE LA LEY N° 7021/2022 ‘DE SUMINISTRO Y CONTRATACIONES PÚBLICAS’ Y MODIFICA EL ARTÍCULO 193 DE LA LEY N° 7050 ‘QUE APRUEBA EL PRESUPUESTO GENERAL DE LA NACIÓN PARA EL EJERCICIO FISCAL 2023’, presentado por los Diputados Nacionales Emilio Pavón, Celso Kennedy, Pastor Vera Bejarano, Jorge Ávalos y Fernando Oreggioni",http://silpy.congreso.gov.py/expediente/128078,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,D-2371795,19/04/2023,128078,PARLAMENTARIA,CAMARA DE DIPUTADOS,PROYECTO DE LEY,ORDINARIO
"QUE DESAFECTA DEL DOMINIO PUBLICO MUNICIPAL Y AUTORIZA A LA MUNICIPALIDAD DE ASUNCION, A TRANSFERIR A TITULO ONEROSO UN INMUEBLE INDIVIDUALIZADO CON FINCA N.º 2316 CTA CTE CTRAL N.º 14-0414-13 A FAVOR DE SU ACTUAL OCUPANTE. Presentado por la Diputada Del Pilar Medina. ",http://silpy.congreso.gov.py/expediente/128077,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,D-2371792,19/04/2023,128077,PARLAMENTARIA,CAMARA DE DIPUTADOS,PROYECTO DE LEY,ORDINARIO
QUE ESTABLECE EL DIA NACIONAL DEL MEDICO ESTETICO - presentado por la Diputada Rocío Abed.,http://silpy.congreso.gov.py/expediente/128076,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,D-2371794,19/04/2023,128076,PARLAMENTARIA,CAMARA DE DIPUTADOS,PROYECTO DE LEY,ORDINARIO
"QUE DECLARA DE INTERES SOCIAL Y EXPROPIA A FAVOR DEL MINISTERIO DE URBANISMO, VIVIENDA Y HABITAD (MUVH), UN INMUEBLE INDIVIDUALIZADO COMO, FINCA Nº 6008, SITUADO EN LA CALLE 10 Y 11 ACARAY CON UNA SUPERFICIE DE 2 HAS, UBICADO EN EL DISTRITO DE CIUDAD DEL ESTE, DEPARTAMENTO DE ALTO PARANA, PARA SU POSTERIOR TRANSFERENCIA A TITULO ONEROSO A FAVOR DE LOS ACTUALES OCUPANTES DEL ASENTAMIENTO 1 DE JUNIO, presentado por el Diputada Nacional Blanca Vargas de Caballero",http://silpy.congreso.gov.py/expediente/128075,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,D-2371729,19/04/2023,128075,PARLAMENTARIA,CAMARA DE DIPUTADOS,PROYECTO DE LEY,ORDINARIO
"QUE SUSPENDE POR TIEMPO INDETERMINADO, DENTRO DEL MARCO DEL PROYECTO ASUNCION VERDE DE LAS AMERICAS – VIAS A LA SUSTENTABILIDAD, LA CONSTRUCCIÓN Y OTRAS INTERVENCIONES EN MATERIA DE INFRAESTRUCTURA VIAL REALIZADA POR LOS ORGANISMOS Y ENTIDADES DEL ESTADO PARA LA HABILITACIÓN DE CARRILES PREFERENCIALES PARA BICICLETAS DENOMINADAS BICISENDAS DENTRO DEL AREA METROPOLITANA DE ASUNCIÓN, presentado por los Diputados:Guadalupe Aveiro, Basilio Gustavo Núñez Giménez, Jazmín Narváez Osorio, Miguel Tadeo Rojas Meza y Justo Aricio Zacarías.
		
",http://silpy.congreso.gov.py/expediente/128074,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,D-2371727,19/04/2023,128074,PARLAMENTARIA,CAMARA DE DIPUTADOS,PROYECTO DE LEY,ORDINARIO
"Mensaje del Poder Ejecutivo N° 776.- Ministerio de Defensa Nacional, de fecha 18 de abril de 2023, por el cual solicita la autorización correspondiente para el ingreso temporal a aguas jurisdiccionales de la República del Paraguay del Navío Aviso Hidroceanográfico Fluvial ‘CARAVELAS’ (H-17), específicamente a los puertos paraguayos de Concepción y Asunción, desde el 1 de mayo al 10 de junio del corriente año, con la finalidad de retomar los trabajos de balizamiento hidrográfico del Río Paraguay, Comisión “SONDOPE”, con sus respectivos tripulantes.",http://silpy.congreso.gov.py/expediente/128073,FINALIZACIÓN DE TRAMITACIÓN,SE COMUNICA AL PODER EJECUTIVO Y A QUIEN CORRESPONDA,COMUNICADO,S-231889,19/04/2023,128073,PODER EJECUTIVO,CAMARA DE SENADORES,AUTORIZACION CONSTITUCIONAL (Artículo Nº 224 Inciso 5 C.N. – LEY Nº 5208/14),ORDINARIO
"Mensaje del Poder Ejecutivo N° 772.- Ministerio de Relaciones Exteriores, de fecha 17 de abril de 2023, por el cual solicita el correspondiente Acuerdo Constitucional a fin de proceder a la designación de la Embajadora MARIA LETICIA CASATI CABALLERO en carácter de Embajadora Extraordinaria y Plenipotenciaria de la República del Paraguay concurrente ante la República de San Marino, con sede en el Estado de la Ciudad del Vaticano.",http://silpy.congreso.gov.py/expediente/128072,FINALIZACIÓN DE TRAMITACIÓN,SE COMUNICA AL PODER EJECUTIVO Y A QUIEN CORRESPONDA,COMUNICADO,S-231887,19/04/2023,128072,PODER EJECUTIVO,CAMARA DE SENADORES,ACUERDO CONSTITUCIONAL (Art. 224. C.N.),ORDINARIO
"Proyecto de Ley “QUE DECLARA DE INTERÉS SOCIAL Y EXPROPIA A FAVOR DEL ESTADO PARAGUAYO – MINISTERIO DE URBANISMO, VIVIENDA Y HÁBITAT (MUVH), UN INMUEBLE INDIVIDUALIZADO CON FINCA N° 15.738, PADRÓN N° 9.777 UBICADO EN EL KM 11 ACARAY, DEL DISTRITO DE CIUDAD DEL ESTE, QUE SIRVE DE ASIENTO AL TERRITORIO SOCIAL DENOMINADA ‘MARÍA AUXILIADORA’, PARA SU POSTERIOR TRANSFERENCIA A TÍTULO ONEROSO A FAVOR DE SUS ACTUALES OCUPANTES”, presentado por el Senador Sixto Pereira Galeano, de fecha 18 de abril de 2023.",http://silpy.congreso.gov.py/expediente/128071,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,S-2311445,19/04/2023,128071,PARLAMENTARIA,CAMARA DE SENADORES,PROYECTO DE LEY,ORDINARIO
