acapite,appURL,descripcionEtapa,descripcionSubEtapa,estadoProyecto,expedienteCamara,fechaIngresoExpediente,idProyecto,iniciativa,origenProyecto,tipoProyecto,urgencia
"Proyecto de Resolución “QUE PIDE INFORME AL INSTITUTO PARAGUAYO DEL INDÍGENA (INDI)”, presentado por la Senadora Georgia María Arrúa de Dolinsky, de fecha 10 de mayo de 2023.",http://silpy.congreso.gov.py/expediente/128112,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,S-2311467,10/05/2023,128112,PARLAMENTARIA,CAMARA DE SENADORES,RESOLUCION CON RESPUESTA A PEDIDO DE INFORMES (Art. 192 CN),ORDINARIO
"Proyecto de Ley “QUE REGLAMENTA EL ARTÍCULO 106 DE LA CONSTITUCIÓN NACIONAL Y ESTABLECE LA RESPONSABILIDAD DEL FUNCIONARIO Y DEL EMPLEADO PÚBLICO”, presentado por la Senadora Georgia María Arrúa de Dolinsky, de fecha 9 de mayo de 2023.",http://silpy.congreso.gov.py/expediente/128111,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,S-2311466,09/05/2023,128111,PARLAMENTARIA,CAMARA DE SENADORES,PROYECTO DE LEY,ORDINARIO
"Proyecto de Ley “QUE CONCEDE PENSIÓN GRACIABLE AL SEÑOR VALERIO AYALA NOGUERA”, presentado por el Senador Sixto Pereira Galeano, de fecha 8 de mayo de 2023.",http://silpy.congreso.gov.py/expediente/128110,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,S-2311465,09/05/2023,128110,PARLAMENTARIA,CAMARA DE SENADORES,PROYECTO DE LEY,ORDINARIO
"Proyecto de Ley “DE PROTECCIÓN A PERIODISTAS Y PERSONAS DEFENSORAS DE DERECHOS HUMANOS”, presentado por los Senadores Blas Lanzoni Achinelli, José Gregorio Ledesma Narváez y Gilberto Antonio Apuril Santiviago, de fecha 26 de abril de 2023.",http://silpy.congreso.gov.py/expediente/128109,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,S-2311464,09/05/2023,128109,PARLAMENTARIA,CAMARA DE SENADORES,PROYECTO DE LEY,ORDINARIO
"QUE MODIFICA EL ARTICULO 25 DE LA LEY 438/94 QUE REGULA LA CONSTITUCION, ORGANIZACION, Y FUNCIONAMIENTOS DE LAS COOPERATIVAS Y DEL SECTORCOOPERATIVO. Presentado por el Diputado Edwin Reimer",http://silpy.congreso.gov.py/expediente/128108,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,D-2371944,10/05/2023,128108,PARLAMENTARIA,CAMARA DE DIPUTADOS,PROYECTO DE LEY,ORDINARIO
"QUE CONCEDE PENSION GRACIABLE AL SEÑOR OSCAR CARDOZO. Presentado por los Diputados Basilio Núñez, y Juan Galaverna. ",http://silpy.congreso.gov.py/expediente/128107,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,D-2371946,10/05/2023,128107,PARLAMENTARIA,CAMARA DE DIPUTADOS,PROYECTO DE LEY,ORDINARIO
"QUE PROMUEVE LA ORGANIZACION,CONSTITUCION Y PUESTA EN FUNCIONAMIENTOS DE UNO O MAS FONDOS DE GARANTIAS DE AHORROS EN COOPERATIVAS, presentado por el Diputado Edwin Buhler.",http://silpy.congreso.gov.py/expediente/128106,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,D-2371945,10/05/2023,128106,PARLAMENTARIA,CAMARA DE DIPUTADOS,PROYECTO DE LEY,ORDINARIO
"QUE SOLICITA INFORMES AL MINISTERIO DEL TRABAJO SOBRE LAS POLITICAS DE INCENTIVO DEL TRABAJO A LAS PERSONAS MAYORES, presentado por la Diputada Nacional Rocío Vallejo",http://silpy.congreso.gov.py/expediente/128105,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,D-2371943,11/05/2023,128105,PARLAMENTARIA,CAMARA DE DIPUTADOS,RESOLUCION CON RESPUESTA A PEDIDO DE INFORMES (Art. 192 CN),ORDINARIO
"QUE PIDE INFORMES AL CONSEJO NACIONAL DE EDUCACION SUPERIOR (CONES), presentado por la Diputada Rocío Abed",http://silpy.congreso.gov.py/expediente/128102,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,D-2371903,09/05/2023,128102,PARLAMENTARIA,CAMARA DE DIPUTADOS,RESOLUCION CON RESPUESTA A PEDIDO DE INFORMES (Art. 192 CN),ORDINARIO
"QUE DECLARA DE INTERES NACIONAL Y CULTURAL LA PARTICIPACION ARTISTICA PROYECTADA POR LA COMPAÑIA DE DANZAS ""REPUBLICA SARAKI"" Y EL GRUPO MUSICAL ""GENESIS"" DE LA CIUDAD DE LUQUE, A REALIZARSE EN EL MES DE AGOSTO POR EL CONTINENTE EUROPEO, FESTIVAL MUNDIAL DEL FOLKLORE DE JAMBES - NAMUR (BELGICA) Y FESTIVAL DE HOUBLON (FRANCIA) - presentado por el Diputado Carlos Núñez Salinas.",http://silpy.congreso.gov.py/expediente/128101,PRIMER TRÁMITE CONSTITUCIONAL,DICTAMEN DE COMISIÓN,EN TRAMITE,D-2371924,10/05/2023,128101,PARLAMENTARIA,CAMARA DE DIPUTADOS,DECLARACIONES UNICAMERALES - (Art. 108-CS y 104-CD REGLAMENTO INTERNO ),ORDINARIO
